Host Listings Count;Host Total Listings Count;Accommodates;Bathrooms;Bedrooms;Beds;Price;Weekly Price;Monthly Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Availability 365;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Location;Calculated host listings count;Host Since in Days;Entire home/apt;Private room
1.0;1.0;3;1.0;1.0;2.0;47.0;;;100.0;15.0;1;10;302;94.0;10.0;9.0;9.0;1;1677;1;0
4.0;4.0;1;1.0;1.0;1.0;27.0;;;;;1;0;298;91.0;10.0;9.0;10.0;4;601;0;1
2.0;2.0;1;1.0;1.0;1.0;32.0;;;;;1;0;0;;;;;2;185;0;1
1.0;1.0;2;1.0;1.0;2.0;25.0;;;;;1;25;0;88.0;9.0;9.0;8.0;1;510;0;1
1.0;1.0;2;1.0;1.0;1.0;35.0;;;;;1;0;75;100.0;10.0;10.0;10.0;1;59;0;1
2.0;2.0;2;1.0;1.0;1.0;69.0;;;99.0;39.0;1;19;90;;;;;2;64;0;1
2.0;2.0;2;1.0;1.0;1.0;50.0;330.0;1201.0;;40.0;1;0;106;94.0;10.0;9.0;10.0;2;1106;1;0
2.0;2.0;4;1.0;2.0;3.0;75.0;;;120.0;20.0;2;15;67;95.0;9.0;10.0;10.0;2;1059;1;0
2.0;2.0;4;1.0;1.0;2.0;94.0;;;;;1;0;164;;;;;2;1767;1;0
1.0;1.0;4;1.0;1.0;2.0;60.0;;;200.0;35.0;1;0;130;100.0;9.0;10.0;10.0;1;1136;1;0
1.0;1.0;1;1.0;1.0;1.0;20.0;;;;;1;0;44;97.0;10.0;10.0;10.0;1;159;0;1
1.0;1.0;1;1.0;1.0;1.0;25.0;;;;;1;0;26;;;;;1;41;0;1
2.0;2.0;2;1.0;1.0;1.0;80.0;;;;;1;0;337;95.0;9.0;10.0;10.0;1;1216;0;1
1.0;1.0;2;1.5;2.0;1.0;40.0;;;;;1;0;361;100.0;10.0;10.0;10.0;1;1122;0;1
1.0;1.0;4;1.0;3.0;3.0;85.0;595.0;1785.0;700.0;;4;10;281;;;;;1;1480;1;0
1.0;1.0;1;1.0;1.0;1.0;27.0;;;;;1;0;363;;;;;1;1960;0;1
57.0;57.0;4;1.0;1.0;1.0;49.0;;;100.0;30.0;1;10;129;88.0;9.0;9.0;10.0;48;788;1;0
1.0;1.0;2;1.0;1.0;1.0;54.0;;;;20.0;1;0;301;89.0;9.0;9.0;10.0;1;503;1;0
1.0;1.0;2;1.0;1.0;1.0;75.0;;;;;1;0;83;;;;;1;726;1;0
1.0;1.0;2;1.0;1.0;2.0;22.0;;;200.0;;1;15;363;;;;;1;1552;0;1
46.0;46.0;2;1.0;0.0;2.0;32.0;;;90.0;60.0;1;5;331;;;;;44;933;1;0
3.0;3.0;2;2.5;1.0;1.0;38.0;220.0;800.0;150.0;10.0;1;12;300;100.0;8.0;8.0;10.0;2;1065;0;1
5.0;5.0;2;1.0;1.0;1.0;69.0;;2100.0;100.0;30.0;1;0;321;88.0;9.0;9.0;10.0;4;1395;1;0
8.0;8.0;2;1.0;1.0;1.0;45.0;300.0;790.0;;10.0;2;20;347;81.0;8.0;9.0;9.0;7;1445;0;1
1.0;1.0;2;2.0;1.0;1.0;38.0;260.0;800.0;;;1;10;161;99.0;10.0;10.0;10.0;1;699;0;1
3.0;3.0;4;1.0;1.0;2.0;55.0;;;;30.0;2;8;129;85.0;9.0;9.0;10.0;3;305;1;0
4.0;4.0;6;2.5;3.0;4.0;90.0;;;;;1;0;39;;;;;4;142;1;0
1.0;1.0;2;1.0;1.0;2.0;30.0;;;;;1;0;363;;;;;1;229;0;1
2.0;2.0;2;1.0;1.0;1.0;36.0;235.0;575.0;80.0;;1;0;72;94.0;10.0;9.0;10.0;2;1810;0;1
1.0;1.0;3;1.0;0.0;1.0;35.0;;;;;1;0;18;90.0;9.0;9.0;9.0;1;53;1;0
8.0;8.0;3;1.0;1.0;2.0;60.0;390.0;;150.0;25.0;2;30;279;95.0;9.0;10.0;10.0;8;1671;1;0
3.0;3.0;6;1.0;2.0;3.0;60.0;;;100.0;40.0;2;10;161;60.0;6.0;8.0;10.0;2;186;1;0
