Host Listings Count;Host Total Listings Count;Accommodates;Bathrooms;Bedrooms;Beds;Price;Weekly Price;Monthly Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Availability 365;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Location;Calculated host listings count;Host Since in Days;Entire home/apt;Private room
1.0;1.0;1;1.0;1.0;1.0;40.0;;;;;1;0;331;;;;;1;585;0;1
16.0;16.0;4;1.0;2.0;2.0;99.0;;;100.0;30.0;4;0;294;93.0;10.0;10.0;10.0;16;1012;1;0
142.0;142.0;2;2.0;2.0;3.0;139.0;;;;77.0;2;26;202;100.0;10.0;10.0;10.0;77;1667;1;0
2.0;2.0;4;2.0;2.0;2.0;95.0;;;180.0;30.0;1;0;105;;;;;1;577;1;0
26.0;26.0;3;1.0;0.0;3.0;60.0;;;;;1;0;320;80.0;9.0;9.0;;26;1383;1;0
1.0;1.0;1;1.0;1.0;1.0;27.0;;;;;1;0;348;94.0;9.0;10.0;10.0;1;368;0;1
2.0;2.0;3;1.0;1.0;1.0;50.0;320.0;895.0;90.0;25.0;2;20;258;89.0;9.0;9.0;9.0;1;2094;1;0
2.0;2.0;2;1.0;1.0;1.0;20.0;;;;;1;20;362;97.0;9.0;10.0;10.0;2;293;0;1
1.0;1.0;1;1.0;1.0;1.0;48.0;;;;;1;0;175;;;;;1;160;0;1
1.0;1.0;2;1.0;1.0;1.0;50.0;;;;;1;0;364;;;;;1;249;0;1
26.0;26.0;1;3.0;1.0;1.0;36.0;;;200.0;30.0;1;0;311;;;;;26;44;0;1
38.0;38.0;1;5.0;1.0;1.0;23.0;322.0;1288.0;200.0;;1;0;10;80.0;10.0;10.0;10.0;38;732;0;1
1.0;1.0;5;1.0;3.0;4.0;110.0;550.0;1850.0;200.0;25.0;1;0;254;97.0;10.0;10.0;10.0;1;455;1;0
3.0;3.0;4;1.0;1.0;2.0;65.0;500.0;2400.0;100.0;30.0;2;10;63;96.0;10.0;10.0;10.0;3;1458;1;0
8.0;8.0;2;1.0;1.0;2.0;50.0;;;;20.0;1;5;353;100.0;10.0;8.0;10.0;7;1445;0;1
5.0;5.0;2;1.0;1.0;1.0;22.0;160.0;700.0;;;1;5;149;92.0;10.0;9.0;9.0;5;954;0;1
1.0;1.0;1;1.0;;;20.0;;;;;1;0;365;;;;;1;56;0;1
8.0;8.0;2;2.0;1.0;2.0;85.0;;;100.0;;1;0;281;;;;;7;2213;1;0
1.0;1.0;1;1.0;1.0;1.0;47.0;;;;;1;0;174;;;;;1;2;0;1
1.0;1.0;1;1.0;1.0;1.0;14.0;;;100.0;;1;0;0;73.0;8.0;8.0;9.0;1;410;0;1
5.0;5.0;1;1.0;1.0;1.0;15.0;;;;;1;0;0;99.0;10.0;10.0;10.0;5;341;0;1
5.0;5.0;4;2.0;2.0;3.0;160.0;;;;;1;0;326;93.0;9.0;10.0;10.0;4;1538;1;0
9.0;9.0;2;1.0;1.0;1.0;23.0;;;;;1;0;343;100.0;10.0;10.0;10.0;9;883;0;1
1.0;1.0;4;1.0;1.0;2.0;100.0;;;250.0;;1;0;54;98.0;10.0;10.0;10.0;1;335;1;0
2.0;2.0;1;1.0;1.0;1.0;25.0;300.0;1000.0;;;1;0;342;87.0;9.0;9.0;8.0;2;608;0;1
1.0;1.0;4;1.0;1.0;2.0;50.0;;;;;2;10;296;93.0;10.0;10.0;10.0;1;680;1;0
3.0;3.0;1;1.0;1.0;1.0;10.0;;;;15.0;1;0;0;80.0;9.0;7.0;7.0;3;136;0;0
1.0;1.0;2;1.0;1.0;1.0;20.0;135.0;450.0;;;1;0;37;94.0;10.0;10.0;9.0;1;502;0;1
3.0;3.0;2;1.0;1.0;1.0;21.0;;;;;1;0;324;80.0;9.0;9.0;9.0;3;20;0;1
10.0;10.0;6;1.5;2.0;3.0;125.0;600.0;2350.0;;45.0;4;15;289;93.0;9.0;9.0;10.0;9;2477;1;0
1.0;1.0;4;1.0;1.0;2.0;32.0;;;120.0;15.0;1;0;40;87.0;9.0;8.0;9.0;1;475;1;0
1.0;1.0;2;1.0;1.0;1.0;50.0;350.0;1029.0;100.0;15.0;1;0;297;97.0;10.0;10.0;10.0;1;591;1;0
5.0;5.0;8;2.0;3.0;5.0;170.0;;3750.0;200.0;;6;25;301;94.0;10.0;10.0;9.0;4;1602;1;0
2.0;2.0;2;2.0;1.0;1.0;70.0;;;;;1;15;179;100.0;10.0;10.0;8.0;2;951;0;1
5.0;5.0;1;2.0;1.0;1.0;23.0;;;94.0;5.0;1;0;50;92.0;10.0;10.0;10.0;5;222;0;1
1.0;1.0;2;1.0;1.0;2.0;20.0;;;;;1;0;0;96.0;10.0;10.0;9.0;1;1508;0;1
4.0;4.0;2;1.0;1.0;1.0;24.0;;;;10.0;1;20;68;;;;;4;78;0;1
1.0;1.0;2;1.0;1.0;1.0;25.0;;;;;1;0;177;;;;;1;567;0;1
1.0;1.0;2;1.0;1.0;1.0;60.0;;;;;1;0;67;100.0;10.0;9.0;8.0;1;91;0;1
4.0;4.0;3;1.0;1.0;2.0;59.0;;;150.0;35.0;2;5;323;100.0;10.0;10.0;10.0;4;1387;1;0
4.0;4.0;4;1.0;1.0;1.0;68.0;;;200.0;40.0;2;15;277;90.0;10.0;10.0;10.0;4;1886;1;0
20.0;20.0;4;1.0;1.0;1.0;85.0;;;;;1;0;322;;;;;9;650;1;0
2.0;2.0;4;1.0;1.0;2.0;70.0;;;;;1;0;327;91.0;10.0;10.0;9.0;2;331;1;0
1.0;1.0;2;1.0;0.0;1.0;40.0;210.0;;;15.0;10;0;0;96.0;10.0;10.0;10.0;1;908;1;0
26.0;26.0;1;3.0;1.0;1.0;35.0;;;200.0;30.0;1;0;311;;;;;26;44;0;1
13.0;13.0;4;1.5;1.0;1.0;60.0;;;250.0;15.0;2;25;336;93.0;10.0;9.0;9.0;13;1247;1;0
24.0;24.0;8;2.0;3.0;5.0;177.0;;;100.0;35.0;5;0;272;95.0;10.0;10.0;10.0;21;646;1;0
207.0;207.0;5;2.0;2.0;3.0;149.0;;;150.0;35.0;3;12;248;95.0;10.0;10.0;10.0;67;452;1;0
1.0;1.0;2;1.0;1.0;1.0;60.0;;;;;1;0;307;;;;;1;630;0;1
2.0;2.0;2;1.0;1.0;1.0;34.0;;;;5.0;1;12;143;;;;;2;3;0;1
