Host Listings Count;Host Total Listings Count;Accommodates;Bathrooms;Bedrooms;Beds;Price;Weekly Price;Monthly Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Availability 365;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Location;Calculated host listings count;Host Since in Days;Entire home/apt;Private room
2.0;2.0;2.0;2.0;2.0;2.0;143.0;474.20000000000005;1718.9999999999995;500.00000000000006;100.0;1.0;0.0;365.0;100.0;10.0;10.0;10.0;1.0;306.0;1.0;0.0
2.0;2.0;2.0;1.0;1.0;1.0;25.0;203.6;806.0;123.99999999999999;8.0;3.0;15.0;330.0;93.0;10.0;9.0;10.0;1.0;744.0;0.0;1.0
9.0;9.0;5.999999999999999;2.0;3.0000000000000004;3.0;169.0;714.9999999999999;3316.000000000001;150.0;50.0;1.0;0.0;199.0;98.0;10.0;10.0;10.0;6.999999999999999;1426.0;1.0;0.0
11.0;11.0;2.9999999999999996;1.0;0.0;2.0;69.0;389.00000000000006;1349.8;99.99999999999999;20.0;2.0;5.0;275.0;94.0;10.0;9.0;10.0;6.999999999999999;1327.0;1.0;0.0
1.0;1.0;1.0;1.0;1.0;1.0;20.0;131.0;375.0;99.99999999999999;11.0;1.0;0.0;305.0;100.0;10.0;10.0;9.4;1.0;150.0;0.0;1.0
1.0;1.0;2.0;1.0;0.0;2.0;35.0;328.99999999999994;1245.8;103.19999999999999;10.0;1.0;5.0;0.0;70.0;8.0;8.0;6.999999999999999;1.0;1164.0;1.0;0.0
207.0;207.0;2.0;1.0;0.0;1.0;55.0;284.8;979.9999999999998;105.99999999999999;30.0;1.0;0.0;18.0;92.10447761194028;9.2;9.2;9.8;67.0;452.00000000000006;1.0;0.0
6.0;6.0;2.0;1.0;1.0;1.0;35.0;295.0;892.0;142.2;16.4;1.0;15.0;332.0;96.00000000000001;10.0;10.0;10.0;6.000000000000001;1822.0;0.0;1.0
2.0;2.0;1.0;1.0;1.0;1.0;20.0;173.60000000000002;603.9999999999999;96.0;11.0;1.0;10.0;31.0;85.0;10.0;9.0;10.0;2.0;1022.0;0.0;1.0
1.0;1.0;2.0;1.0;1.0;1.0;30.0;183.59999999999997;693.9999999999999;141.79999999999998;15.600000000000001;1.0;10.0;358.0;97.0;10.0;9.0;10.0;1.0;813.9999999999999;0.0;1.0
1.0;1.0;4.0;1.0;1.0;2.0;30.0;280.0;727.9999999999999;161.79999999999998;15.0;1.0;20.0;348.0;98.0;10.0;10.0;10.0;1.0;940.0;0.0;1.0
2.0;2.0;2.0;1.0;1.0;1.0;45.0;253.60000000000002;687.0;150.0;12.600000000000001;1.0;0.0;0.0;97.0;10.0;10.0;10.0;2.0;1111.0;0.0;1.0
1.0;1.0;2.0;1.0;0.0;1.0;75.0;281.0;979.9999999999998;150.0;24.0;1.0;0.0;138.0;89.0;9.0;9.0;10.0;1.0;149.0;1.0;0.0
17.0;17.0;1.0;2.0;1.0;1.0;31.000000000000004;197.60000000000002;553.4;155.8;13.399999999999999;1.0;0.0;311.0;92.10447761194028;9.2;9.2;9.8;17.0;373.0;0.0;1.0
2.0;2.0;2.0;1.5;1.0;1.0;68.0;429.0;1599.9999999999998;300.0;44.99999999999999;1.0;0.0;135.0;95.0;10.0;10.0;10.0;1.0;1737.9999999999998;1.0;0.0
1.0;1.0;2.0;1.5;1.0;1.0;30.0;231.99999999999994;892.0;210.0;20.0;1.0;15.0;340.0;90.0;10.0;9.0;9.0;1.0;970.0;0.0;1.0
1.0;1.0;2.0;1.0;1.0;1.0;49.0;354.2;1156.0;138.0;14.0;1.0;0.0;310.0;100.0;10.0;10.0;10.0;1.0;60.0;1.0;0.0
2.0;2.0;2.0;1.0;0.0;1.0;50.0;284.8;1075.0;99.99999999999999;20.0;2.0;15.0;66.0;96.00000000000001;10.0;10.0;10.0;2.0;200.00000000000003;1.0;0.0
2.0;2.0;2.0;1.0;1.0;1.0;60.0;354.2;1156.0;250.00000000000003;20.0;1.0;0.0;186.0;100.0;10.0;10.0;10.0;2.0;219.0;1.0;0.0
9.0;9.0;2.0;2.0;1.0;2.0;18.0;250.0;600.0;80.0;11.6;1.0;10.0;0.0;87.0;9.0;9.0;10.0;9.0;1934.0;0.0;1.0
1.0;1.0;2.9999999999999996;1.0;1.0;2.0;39.0;389.0;935.3999999999999;108.19999999999999;15.0;1.0;0.0;341.0;78.0;9.0;7.0;8.0;1.0;245.0;1.0;0.0
1.0;1.0;4.0;1.0;1.0;2.0;33.00000000000001;210.0;750.0;180.0;20.0;2.0;5.0;33.0;79.0;8.0;8.0;9.0;1.0;1308.0;1.0;0.0
1.0;1.0;2.0;1.0;1.0;1.0;25.0;241.6;699.0;123.99999999999999;8.0;1.0;0.0;280.0;78.0;9.0;8.0;10.0;1.0;296.0;0.0;0.0
34.0;34.0;1.0;1.0;1.0;1.0;19.0;120.0;430.0;93.99999999999999;15.0;1.0;0.0;279.0;83.0;8.0;8.0;9.0;33.0;1724.0;0.0;1.0
3.0;3.0;5.0;1.0;3.0000000000000004;5.0;70.0;636.9999999999999;1913.0;154.8;23.0;1.0;0.0;278.0;87.0;9.0;9.0;9.0;3.0;1688.0;1.0;0.0
3.0;3.0;2.0;1.0;1.0;1.0;52.0;110.00000000000001;390.00000000000006;138.0;14.600000000000001;1.0;10.0;351.0;94.0;9.0;9.0;9.0;3.0;1110.0;0.0;1.0
1.0;1.0;4.0;2.0;2.0;3.0;200.0;533.9999999999999;2040.8000000000002;199.99999999999997;40.0;1.0;0.0;330.0;100.0;10.0;9.0;10.0;1.0;758.0;1.0;0.0
4.0;4.0;8.0;2.0;1.0;5.999999999999999;94.0;804.9999999999999;2492.0;500.00000000000006;75.0;2.0;11.0;309.0;92.10447761194028;9.2;9.2;9.8;3.0;2867.0;1.0;0.0
1.0;1.0;2.0;1.0;1.0;1.0;26.0;171.0;484.0;162.0;13.999999999999998;1.0;0.0;0.0;100.0;10.0;10.0;8.0;1.0;620.0;0.0;1.0
11.0;11.0;2.0;1.0;1.0;1.0;35.0;250.0;690.0000000000001;184.20000000000002;25.0;1.0;0.0;101.00000000000001;92.10447761194028;9.2;9.2;9.8;10.000000000000002;867.0;0.0;1.0
1.0;1.0;2.0;1.0;1.0;1.0;60.0;304.99999999999994;1059.8000000000002;250.00000000000003;18.0;1.0;0.0;0.0;92.10447761194028;9.2;9.2;9.8;1.0;738.9999999999999;1.0;0.0
1.0;1.0;1.0;1.0;1.0;1.0;23.0;197.60000000000002;619.1999999999999;199.99999999999997;24.0;1.0;0.0;83.0;92.10447761194028;9.2;9.2;9.8;1.0;304.0;0.0;1.0
2.0;2.0;2.0;2.0;1.0;1.0;27.0;131.0;426.00000000000006;123.99999999999999;10.0;1.0;0.0;56.0;93.0;9.0;9.0;9.0;2.0;424.0;0.0;1.0
1.0;1.0;4.0;1.0;1.0;2.0;60.0;392.99999999999994;1118.4;210.0;15.0;1.0;0.0;245.0;96.00000000000001;10.0;10.0;9.0;1.0;773.0;1.0;0.0
2.0;2.0;2.0;1.0;1.0;1.0;25.0;181.6;693.9999999999999;120.0;10.0;1.0;10.0;87.0;92.10447761194028;9.2;9.2;9.8;2.0;972.0;0.0;1.0
15.000000000000002;15.000000000000002;2.0;0.5;1.0;2.0;45.0;162.0;554.6;106.8;18.0;1.0;15.0;157.0;96.00000000000001;10.0;10.0;9.0;15.0;599.0;0.0;1.0
1.0;1.0;4.0;1.0;1.0;2.0;65.0;375.99999999999994;1329.0000000000002;99.99999999999999;20.0;1.0;20.0;327.0;92.0;9.0;9.0;10.0;1.0;465.00000000000006;1.0;0.0
5.0;5.0;1.0;1.5;1.0;4.0;10.0;75.0;280.0;99.99999999999999;20.0;1.0;0.0;280.0;100.0;10.0;10.0;10.0;4.0;1316.0;0.0;1.0
3.0;3.0;1.0;1.0;1.0;1.0;40.0;197.60000000000002;533.3999999999999;177.00000000000003;10.0;1.0;0.0;363.0;92.10447761194028;9.2;9.2;9.8;2.0;302.0;0.0;1.0
1.0;1.0;5.0;2.0;2.0;3.0;135.0;526.0;2190.0;350.0;36.0;4.0;15.0;298.0;97.0;10.0;10.0;10.0;1.0;404.0;1.0;0.0
1.0;1.0;4.0;1.0;1.0;1.0;70.0;357.2;1187.9999999999998;120.0;24.0;2.0;8.0;152.0;85.99999999999999;10.0;8.0;10.0;1.0;191.0;1.0;0.0
1.0;1.0;4.0;1.0;1.0;2.0;68.0;409.19999999999993;1578.0;130.0;28.0;2.0;10.0;107.0;100.0;10.0;10.0;9.0;1.0;49.0;1.0;0.0
1.0;1.0;1.0;1.0;1.0;1.0;20.0;251.2;912.0;96.0;20.0;1.0;10.0;157.0;100.0;10.0;8.0;10.0;1.0;554.0;0.0;1.0
38.0;38.0;1.0;2.0;1.0;1.0;19.0;224.0;896.0;199.99999999999997;26.0;1.0;0.0;10.0;92.10447761194028;9.2;9.2;9.8;38.0;732.0;0.0;1.0
1.0;1.0;4.0;1.5;2.0;2.0;100.0;500.0;2000.0;180.0;30.0;4.0;15.0;229.99999999999997;95.0;10.0;10.0;10.0;1.0;1199.0;1.0;0.0
4.0;4.0;2.0;1.0;0.0;2.0;61.0;455.99999999999994;1598.9999999999998;99.99999999999999;25.0;1.0;0.0;319.0;92.0;9.0;10.0;10.0;4.0;1841.0;1.0;0.0
10.0;10.0;4.0;1.0;1.0;2.0;47.0;380.0;1298.0;130.00000000000003;40.0;2.0;10.0;9.0;90.99999999999999;10.0;10.0;10.0;9.0;605.0;1.0;0.0
4.0;4.0;2.0;1.0;1.0;1.0;40.0;250.0;900.0;105.2;15.599999999999998;1.0;10.0;357.0;92.0;9.0;10.0;9.0;4.0;1754.0;0.0;1.0
8.0;8.0;2.0;1.0;1.0;1.0;39.0;230.0;840.0;120.0;12.0;1.0;6.0;87.0;89.0;9.0;8.0;9.0;8.0;1185.0;0.0;1.0
1.0;1.0;5.999999999999999;1.0;2.0;4.0;150.0;572.9999999999999;1952.8;208.0;28.0;1.0;0.0;338.0;100.0;10.0;10.0;10.0;1.0;588.0;1.0;0.0
14.0;14.0;2.0;1.0;1.0;1.0;65.0;380.0;1351.0;250.00000000000003;20.0;1.0;0.0;164.0;95.0;10.0;10.0;9.0;12.0;500.99999999999994;1.0;0.0
1.0;1.0;2.0;1.0;1.0;1.0;40.0;248.59999999999997;687.0;98.2;13.6;1.0;0.0;28.0;100.0;10.0;9.0;10.0;1.0;1188.0;0.0;1.0
15.000000000000002;15.000000000000002;2.0;1.0;1.0;1.0;14.0;167.6;521.0;105.99999999999999;10.0;1.0;6.0;64.0;92.10447761194028;9.2;9.2;9.8;3.0;490.99999999999994;0.0;1.0
1.0;1.0;1.0;1.0;1.0;1.0;31.000000000000004;190.0;750.0;99.99999999999999;13.0;1.0;0.0;174.0;97.0;10.0;10.0;10.0;1.0;576.0;0.0;1.0
1.0;1.0;5.999999999999999;1.0;3.0000000000000004;4.0;100.0;613.0;1958.6000000000001;172.79999999999998;20.0;6.999999999999999;15.0;140.0;94.0;10.0;9.0;10.0;1.0;1007.9999999999999;1.0;0.0
6.0;6.0;8.0;2.0;3.0000000000000004;4.0;148.0;653.0;2660.6000000000004;99.99999999999999;50.0;6.000000000000001;15.0;304.0;94.0;10.0;10.0;9.0;5.000000000000001;1573.0;1.0;0.0
46.0;46.0;2.0;1.0;1.0;1.0;31.000000000000004;461.0;1256.0;99.99999999999999;50.0;1.0;0.0;356.0;65.0;7.0;6.0;8.0;44.0;933.0000000000001;1.0;0.0
1.0;1.0;7.0;2.0;3.0000000000000004;5.0;150.0;506.99999999999994;2056.6;180.0;47.0;4.0;25.0;268.0;97.0;10.0;10.0;10.0;1.0;317.0;1.0;0.0
38.0;38.0;1.0;2.0;1.0;1.0;32.0;197.60000000000002;737.6;199.99999999999997;30.0;1.0;0.0;311.0;92.10447761194028;9.2;9.2;9.8;38.0;44.0;0.0;1.0
